Price1,Price2,Price3,Price4,Date
108.15899434790423,102.99401697815765,103.54511336492773,96.23402492010554,2023-03-02
108.18015508187509,102.96672558622,103.56654968806725,96.19590157357881,2023-03-03
108.20510500309875,102.99829743231548,103.52308242550481,96.24348164797361,2023-03-04
108.19930929311145,102.95084251862767,103.55191846641823,96.17210957924488,2023-03-05
108.19999305670414,102.9914225743084,103.58873797341678,96.25242696024472,2023-03-06
108.21378109741646,102.98584576784928,103.57358871272496,96.20741476508353,2023-03-07
108.21639414915565,102.98054525087315,103.55246940492275,96.25654467650152,2023-03-08
108.12991731215133,103.01337338790768,103.48523028085312,96.19231000649633,2023-03-09
108.21637291909418,103.01184536571988,103.56235073966401,96.21372474064388,2023-03-10
108.18245552870319,103.00379265037324,103.55735228511516,96.2052490111811,2023-03-11
108.21010017445744,102.99456979338844,103.55888925520436,96.22106259628836,2023-03-12
108.2175879804634,102.97429122586557,103.54381412788352,96.20134364025189,2023-03-13
108.20142173226071,102.98962286510736,103.56395493221265,96.23862192937213,2023-03-14
108.21309197111138,102.98015767584316,103.54837213426109,96.21932591430881,2023-03-15
108.20538149442564,102.98228480735354,103.53455519557559,96.22783515940297,2023-03-16
108.2215726519478,103.01875258087686,103.54514425769558,96.28352465035665,2023-03-17
108.21549652838792,102.9909209166424,103.54151688785045,96.20577181089921,2023-03-18
108.25189084963344,102.96426112163822,103.50491271275182,96.24237120260348,2023-03-19
108.19448800466506,102.98117289624615,103.54301250376423,96.26223563984966,2023-03-20
108.19008098786466,103.03261550177638,103.55286977173796,96.22649697083824,2023-03-21
108.21335464974916,102.98062728965088,103.57196215699251,96.2211811487667,2023-03-22
108.18885444548337,103.00589612918671,103.54817038880287,96.1998494125982,2023-03-23
108.18561049499479,102.98782001773013,103.55447447226065,96.22109985087741,2023-03-24
108.16737974061594,103.0103885190737,103.54968061095467,96.22057139406024,2023-03-25
108.19538194862378,102.99886167590523,103.53976622778838,96.21371871240073,2023-03-26
108.20790415863283,102.98853686110185,103.49195943626376,96.1895704281891,2023-03-27
108.17625080456526,103.00773141694486,103.5240586405113,96.21060166266257,2023-03-28
108.16373674502987,102.93653137543119,103.53065709483472,96.20496065906347,2023-03-29
108.20646124985512,103.01702022580942,103.58574983255198,96.20255212509517,2023-03-30
108.20763952777357,103.00653649064088,103.53313695492018,96.21225399208527,2023-03-31
108.18033467066427,103.00937138517708,103.5569852845034,96.22259105874984,2023-04-01
108.19576548461652,102.98875933144211,103.55642353838888,96.23393073940382,2023-04-02
108.18799638937654,102.95529279641839,103.55150084486125,96.18780930508802,2023-04-03
108.18357592064928,103.0178781469807,103.5697951068065,96.22997116265647,2023-04-04
108.17910106033099,102.9775317559279,103.57200276195158,96.1957028595721,2023-04-05
108.1750205312855,103.01805536226662,103.53127764023594,96.21571074405954,2023-04-06
108.1986022844536,103.00731094563206,103.51682928228126,96.20070356240429,2023-04-07
108.18761276432016,102.99404769386727,103.5471845177135,96.20856820441482,2023-04-08
108.19808326561028,102.98073223578477,103.5579409318425,96.21936058016334,2023-04-09
108.19596034924709,103.01207267902157,103.54416859420685,96.23670143563385,2023-04-10
108.21024952552911,102.9930031769563,103.52321792108408,96.23710370817236,2023-04-11
108.15962457680592,103.00289535557786,103.56335442571431,96.17698654812011,2023-04-12
108.25824228382994,103.01280990927297,103.54515383506107,96.23334840935529,2023-04-13
108.21939161568856,102.99282646280436,103.54936951129513,96.27264012222756,2023-04-14
108.19188619980031,103.00250610254206,103.55001352407307,96.23360838448765,2023-04-15
108.18998688028441,102.96520470956986,103.52893780313782,96.20059877536649,2023-04-16
108.1721911690905,102.96224252164171,103.52579309049193,96.20854916535268,2023-04-17
108.12815530837926,103.0403770561297,103.52538851741298,96.16892750724854,2023-04-18
108.20098103610518,103.00050599994789,103.53609206039364,96.2410586145005,2023-04-19
108.19835265388032,102.98610614713665,103.52424471929382,96.21543038673352,2023-04-20
108.18286363236228,103.00971959786924,103.54160590219836,96.20327778150023,2023-04-21
108.18514276039602,102.99610676235957,103.56451631279488,96.25346367823774,2023-04-22
108.23679991823703,103.02877648272774,103.61614908528705,96.27609305399542,2023-04-23
108.1442429862139,102.95719136659305,103.50694983201285,96.17299224065313,2023-04-24
108.18779312263644,102.97450807825972,103.54851190889246,96.22985265212868,2023-04-25
108.15351652794375,103.02472961605275,103.5597338793633,96.25184287454128,2023-04-26
108.22052038143806,103.00251462428133,103.53355762089663,96.25939904102067,2023-04-27
108.1679208215796,102.98823024319181,103.53732923409864,96.20719437404564,2023-04-28
108.16693088507442,102.97838966043832,103.50093254462699,96.15575677783373,2023-04-29
108.25583567049569,103.01337596429946,103.6573284514788,96.23216024700844,2023-04-30
108.21868198194016,103.00112156038365,103.5735213219653,96.21838721883886,2023-05-01
